what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1446418210844
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446418216928
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1446418216974
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1446418220828
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1446418220859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418222934
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1446418225383
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446418225414
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446418225430
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446418225430
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1446418225461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418225523
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1446418225523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1446418225523
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446418226756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446418226834
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446418226834
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1446418229158
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1446418229798
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1446418229798
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1446418229798
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1446418229798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418231389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418278548
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1446418281402
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1446418281418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418282510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418308157
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1446418314724
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1446418320122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418320247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418329154
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446418329170
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446418331338
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1446418331541
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1446418331557
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/t_vga_sof1/t_vga_sof1.elf] return code: 4, 'other error'",1446418337411
error,log,,,"Downloading ELF Process failed",1446418337411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446418337504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419067434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419076606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419137214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419155787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419162402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419163946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419171933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419192588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419195536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419199124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419219451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419219482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419250274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419254345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419256077
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446419256420
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446419258308
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446419259275
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/t_vga_sof2/t_vga_sof2.elf] return code: 4, 'other error'",1446419262990
error,log,,,"Downloading ELF Process failed",1446419262990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419263021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419268668
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446419269635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419276094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419290274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419294283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419295921
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446419296265
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446419298199
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446419299135
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/t_vga_sof2/t_vga_sof2.elf] return code: 4, 'other error'",1446419302850
error,log,,,"Downloading ELF Process failed",1446419302850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419302881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419305798
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446419306875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419310712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419330337
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446419332256
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446419333192
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/t_vga_sof2/t_vga_sof2.elf] return code: 4, 'other error'",1446419336860
error,log,,,"Downloading ELF Process failed",1446419336860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419336875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419340526
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446419340541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419342101
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1446419344785
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1446419344800
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446419344894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419379183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1446419379198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419382193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419382287
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446419383145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419386920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419388558
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446419388901
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446419392474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446419393410
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/t_vga_sof2/t_vga_sof2.elf] return code: 4, 'other error'",1446419397093
error,log,,,"Downloading ELF Process failed",1446419397093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446419397125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446420186867
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1446420187008
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446420187803
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446420188646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446420196002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446420235950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446420240116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421071831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421076152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421332125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421338635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421346113
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1446421357782
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446421358145
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1446421387430
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446421397148
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446421423458
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446421423486
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1446421428443
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446421428451
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1446421431500
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1446421446112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421449613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446421462853
