what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1446510092087
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1446510092087
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1446510092087
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1446510092102
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1446510092102
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1446510092118
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1446510092118
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1446510092118
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1446510092118
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1446510092118
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1446510092134
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1446510092134
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1446510092134
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1446510092134
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1446510092149
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1446510092149
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1446510092149
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1446510092149
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1446510092149
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1446510092149
os,sysinfo,,,"win32",1446510092149
arch,sysinfo,,,"x86",1446510092149
ws,sysinfo,,,"win32",1446510092149
locale,sysinfo,,,"en_US",1446510092149
processors,sysinfo,,,"4",1446510092149
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1446510092149
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1446510092149
java.specification.name,sysinfo,,,"Java Platform API Specification",1446510092149
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446510092149
java.specification.version,sysinfo,,,"1.6",1446510092149
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446510092149
java.version,sysinfo,,,"1.6.0_23",1446510092149
java.vm.info,sysinfo,,,"mixed mode",1446510092149
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446510092149
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446510092149
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446510092149
java.vm.specification.version,sysinfo,,,"1.0",1446510092149
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446510092149
java.vm.version,sysinfo,,,"19.0-b09",1446510092149
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446510093319
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1446510096470
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1446510096595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446510098826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446510100511
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1446510100526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1446510100526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446510103147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1446510105674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446510106267
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1446510110495
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446510111103
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1446510111306
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1446510111337
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1446510111337
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1446510111337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446510112928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446510174259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446510177021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446510178893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446510231465
