what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481882547
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446481883137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1446481884446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446481885266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446481887926
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446481898326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481901326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481933784
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446481938486
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446481938526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1446481939846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446481941166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446481942166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481959356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481960806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481961486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446481976944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446482008284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446482586886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446482592598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446482612586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446482629769
