what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484284079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446484297762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484298512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484304001
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484305392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446484309339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446484310629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484316078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484319626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484322046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484326916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484331826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484331846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484335730
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484340362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446484343772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484344636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484346356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484348974
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484351594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484352914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484357544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484362634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484365746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484367445
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446484367805
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484369805
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484371297
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484375029
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484432074
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484444482
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484446982
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484452882
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484455899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446484460041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484465941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484469141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484472399
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446484472739
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484474719
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484476183
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484479925
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484489351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484495913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484506301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446484547197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484558761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484575556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484603587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484605969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484609049
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446484609409
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484611409
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484612893
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484616615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484625323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484629553
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484632323
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484633932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484635456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484665251
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484665271
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484666585
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1446484667934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484667964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484669014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484672804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484674534
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446484674864
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484676784
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484677784
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/FPGA/DE1/NIOS_II/tuyen_vga_v1/software/sram_v2/sram_v2.elf] return code: 134",1446484683993
error,log,,,"Downloading ELF Process failed",1446484683993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484684033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484695608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484696504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484702951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446484702981
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446484707601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484711646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484726407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484729654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446484731427
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446484731787
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446484733847
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446484734807
