what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459529261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446459533786
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459534986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446459537316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459538096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459554619
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446459557055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459559485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459679063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459679093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459692715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446459703975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446459706325
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1446459765804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459766804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459775097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459783297
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446459793435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459795165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459798233
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446459799709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459801181
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459819565
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459827065
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446459829395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459831445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459832335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459832375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459843572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459847961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459865143
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446459867198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459867378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459872488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459881884
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459883534
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1446459883574
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1446459885684
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459885904
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459885964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446459901246
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446459902176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446459904266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446459906524
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446459908704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459910384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459910704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459911264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459913684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459916954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459935614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459935634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459939484
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446459941704
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446459943354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459946544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446459948274
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446459948624
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446459952185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446459953185
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446459957414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460020121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460031427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460033777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460121851
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446460125531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460128619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460130351
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1446460130711
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446460134244
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446460135264
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1446460139467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460194633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460490003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460491775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460942422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460943512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460983859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446460985089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461045428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461047860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461356823
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446461358481
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446461359748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1446461362119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446461363429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1446461368929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446461370829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461372799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461386768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446461388196
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446461390247
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446461392597
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1446461396637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461398367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461451672
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446461476538
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1446461476578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446461480053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446461492314
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446461493344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461497814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461517697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461517737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446461521677
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1446461525327
